5 1 3 0x12f4  0x12ba  0x1278  0x1205  0x1204  0x11a2  0x11dd  0x11c2  0x124f  0x11b2  0x119f  0x1206  0x120c  0x1167  0x11b0  0x1207  0x1239  0x126d  0x11fa  0x11e8  0x1225  0x11c0  0x11c7  0x1181  0x123b  0x1193  0x11c5  0x11d3  0x11c9  0x11cf  0x11ca  0x11b1  0x1201  0x1285  0x11c8  0x11ee  0x1210  0x1267  0x11e5  0x121b  0x11a4  0x1264  0x1207  0x121c  0x124c  0x11c8  0x1240  0x1255  0x1229  0x1201  0x1210  0x128e  0x12ac  0x1225  0x1236  0x1240  0x12a2  0x1284  0x12c6  0x1257  0x129d  0x12a8  0x1339  0x12bb  0x1309  0x12a5  0x12ac  0x1320  0x1264  0x1307  0x136c  0x12cb  0x12c1  0x1368  0x13c9  0x1306  0x12ba  0x12eb  0x12c7  0x12f1  0x134d  0x13e8  0x1312  0x1398  0x12d4  0x13be  0x1357  0x1341  0x13ba  0x1379  0x1334  0x12ea  0x1320  0x130c  0x1328  0x1383  0x1398  0x1407  0x139c  0x13ed  0x13c7  0x13aa  0x13b7  0x13bd  0x13a8  0x13b4  0x13dc  0x1418  0x1478  0x13de  0x13e0  0x1395  0x1427  0x13a8  0x1417  0x1475  0x1400  0x141c  0x1452  0x13dc  0x1456  0x142c  0x1450  0x151f  0x153d  0x14ca  0x14d7  0x1612
5 1 4 0xe6d  0xeb5  0xf0d  0xebc  0xf47  0xf10  0xf64  0xf0c  0xf2b  0xf76  0xfe0  0xf26  0xf92  0xed7  0xf3f  0xfda  0xf4a  0xfba  0xf6b  0xf35  0xef8  0xf65  0xfa4  0xf97  0x1031  0xfc1  0xf9c  0xf4a  0xf22  0xf90  0xfa7  0xf17  0x1023  0xfec  0xfe1  0xfc8  0xfc6  0xf62  0x1007  0xfcb  0x1026  0xfe6  0xfda  0xff0  0x1074  0xfb0  0x1046  0x102b  0x105d  0x101c  0x109c  0x1019  0xff1  0x1049  0xfe2  0xfee  0xfff  0x104e  0x1059  0x107c  0x108f  0x1057  0x10ab  0x103e  0x10e0  0x1105  0x10e7  0x1148  0x10e2  0x10f1  0x10c8  0x1127  0x1156  0x111c  0x1149  0x110e  0x10f8  0x1111  0x10b9  0x10e9  0x117e  0x113f  0x10c2  0x1168  0x10cc  0x1140  0x10e9  0x1148  0x1154  0x1110  0x111e  0x1112  0x1137  0x1129  0x1147  0x116e  0x1140  0x10df  0x109c  0x111c  0x1155  0x1135  0x1143  0x10ee  0x1182  0x10fe  0x1113  0x1193  0x117f  0x1162  0x115b  0x1167  0x116d  0x1188  0x113d  0x1183  0x11e7  0x11ca  0x1157  0x11c9  0x11a5  0x11ba  0x11cb  0x1191  0x1183  0x11b7  0x1237  0x132a
5 2 0 0x1257  0x1231  0x12cf  0x1271  0x124f  0x12fa  0x128a  0x120a  0x121a  0x125f  0x1245  0x1226  0x125b  0x1207  0x1295  0x1242  0x1213  0x1278  0x121d  0x1260  0x12bb  0x129f  0x1291  0x1296  0x12de  0x12a4  0x1251  0x12b1  0x128b  0x1260  0x12ae  0x128d  0x12ad  0x1305  0x12b8  0x1291  0x1316  0x1297  0x12a6  0x12e5  0x1342  0x12ee  0x12fd  0x12b1  0x12f4  0x1358  0x133a  0x12ca  0x1356  0x12fc  0x12e1  0x12ef  0x12f6  0x131a  0x1301  0x131d  0x12c8  0x1320  0x1326  0x137d  0x12f9  0x1316  0x1325  0x135e  0x13ef  0x13bc  0x13d5  0x1342  0x13e7  0x144f  0x139e  0x1386  0x139a  0x139d  0x1372  0x140b  0x13a2  0x1424  0x140d  0x1413  0x1438  0x1407  0x13e8  0x13fa  0x13ea  0x142f  0x13f9  0x144f  0x142d  0x1465  0x1424  0x1465  0x1412  0x143b  0x1471  0x1499  0x1407  0x1400  0x141a  0x141e  0x1439  0x141f  0x13e6  0x13dd  0x148c  0x140c  0x1466  0x14c3  0x1499  0x149f  0x147b  0x14b0  0x14b3  0x14e0  0x1482  0x1501  0x14d7  0x14db  0x150e  0x1474  0x1491  0x1458  0x14d2  0x14e9  0x14ce  0x1452  0x1513  0x160e
5 2 1 0x12ba  0x124a  0x121d  0x120e  0x11c8  0x1267  0x125e  0x1240  0x1247  0x120b  0x121a  0x120d  0x1218  0x129b  0x11e3  0x121c  0x1242  0x1295  0x120b  0x1214  0x12a8  0x12a7  0x1260  0x122d  0x11c7  0x122c  0x1243  0x11d0  0x1295  0x12b3  0x1207  0x1245  0x1231  0x1269  0x125f  0x1223  0x1201  0x1219  0x124a  0x11d9  0x1246  0x1208  0x1213  0x123e  0x127c  0x11ff  0x1239  0x125e  0x1208  0x129e  0x125b  0x128b  0x129b  0x12a4  0x1256  0x124e  0x1269  0x1279  0x127b  0x125d  0x128f  0x126f  0x1292  0x1257  0x12e0  0x12f5  0x1379  0x12e8  0x1377  0x1302  0x1346  0x131d  0x131e  0x1335  0x132f  0x1340  0x131e  0x12fb  0x133e  0x12ed  0x12da  0x1348  0x1318  0x133c  0x13c8  0x1327  0x13a8  0x1308  0x13a3  0x134a  0x1337  0x1359  0x1353  0x1382  0x13aa  0x12ee  0x1365  0x13b5  0x134e  0x133f  0x132e  0x1355  0x1322  0x13a0  0x133d  0x1359  0x13b0  0x134e  0x137f  0x13d3  0x132d  0x1366  0x1323  0x1313  0x13a3  0x132a  0x1329  0x1382  0x12fc  0x139d  0x13f6  0x1376  0x1389  0x135f  0x13df  0x1406  0x1441  0x15b6
5 2 2 0x1426  0x1451  0x1456  0x145e  0x1454  0x1403  0x139d  0x13f5  0x1390  0x1385  0x1374  0x133e  0x13e5  0x13b5  0x136b  0x13e4  0x1393  0x13c1  0x13b3  0x1341  0x136a  0x1348  0x1357  0x1330  0x13b7  0x1359  0x1390  0x137e  0x1398  0x1380  0x138e  0x13d8  0x1336  0x13e2  0x13b3  0x1352  0x13d6  0x1376  0x139e  0x134b  0x1399  0x1330  0x1369  0x13b1  0x13a9  0x137d  0x13d9  0x1314  0x134a  0x1387  0x1393  0x13c1  0x137c  0x13bc  0x13c7  0x136b  0x13c4  0x1440  0x1377  0x13e4  0x13ff  0x1382  0x1392  0x13a5  0x1442  0x142d  0x1484  0x13f7  0x140e  0x1448  0x1443  0x13c8  0x13df  0x13f6  0x1488  0x146b  0x13ef  0x1422  0x1453  0x1437  0x13fb  0x1402  0x1436  0x1464  0x13fe  0x140e  0x1382  0x1440  0x1407  0x144a  0x142d  0x1464  0x1410  0x146b  0x1412  0x1465  0x13ba  0x143b  0x1491  0x1416  0x1401  0x141b  0x1450  0x1408  0x1448  0x1415  0x1425  0x1487  0x145c  0x14b1  0x1488  0x1477  0x14bf  0x146a  0x147c  0x141f  0x1497  0x1486  0x14af  0x1502  0x14f2  0x1537  0x14c0  0x153b  0x14db  0x150e  0x1529  0x16b3
5 2 3 0x1238  0x12c0  0x123b  0x125a  0x12c8  0x1252  0x122d  0x126d  0x1242  0x12ac  0x11fb  0x12bf  0x1252  0x1252  0x1289  0x1213  0x129b  0x12b8  0x12ab  0x1224  0x125f  0x122e  0x1254  0x128e  0x1293  0x125d  0x12c9  0x1247  0x129c  0x127c  0x126b  0x1342  0x1300  0x122f  0x1247  0x130d  0x125f  0x129c  0x1299  0x12f9  0x1325  0x12b6  0x130b  0x1259  0x136b  0x124f  0x127e  0x135c  0x12b9  0x1316  0x1351  0x1310  0x1347  0x1303  0x1306  0x1395  0x132c  0x13a7  0x13a5  0x1383  0x135a  0x1374  0x13bf  0x1441  0x1466  0x13de  0x1459  0x13f9  0x141b  0x13ae  0x1428  0x148e  0x13bc  0x13a2  0x13d5  0x1433  0x1419  0x143a  0x13d4  0x1406  0x147d  0x13f2  0x1440  0x1410  0x143f  0x143b  0x14bf  0x148c  0x1443  0x13d3  0x149b  0x1463  0x142d  0x1437  0x1474  0x13d6  0x1498  0x1450  0x1406  0x13e9  0x13d4  0x14a6  0x14a0  0x1403  0x13d8  0x148f  0x14c6  0x14ce  0x1430  0x14cf  0x1511  0x1491  0x148a  0x152b  0x14f1  0x14c6  0x1581  0x1542  0x14b2  0x14bb  0x1560  0x1507  0x155e  0x156a  0x15b4  0x15bd  0x15ca  0x167f
5 2 4 0x1052  0xfba  0x1014  0x105e  0x106d  0x1035  0x1079  0x105f  0x1054  0x103f  0x10b5  0x1059  0x107d  0x1045  0x10a0  0x10a5  0x10a5  0x1099  0x1091  0x1082  0x105e  0x1079  0x1092  0x10cf  0x1049  0x10a9  0x109e  0x10c2  0x10be  0x10a4  0x10ed  0x110e  0x10f1  0x10d1  0x10df  0x10a8  0x111d  0x1113  0x10f1  0x10fb  0x113e  0x10b4  0x118b  0x113b  0x113a  0x1130  0x117e  0x1191  0x1190  0x11a5  0x118e  0x114a  0x1190  0x113e  0x1146  0x113f  0x11a2  0x1192  0x11ff  0x1194  0x119c  0x118d  0x1188  0x117b  0x11f6  0x11bd  0x115c  0x11da  0x11ba  0x117a  0x11f1  0x11c2  0x11d1  0x11a4  0x126e  0x11cd  0x11f7  0x11b0  0x11b7  0x11e1  0x11f0  0x1191  0x118a  0x11e6  0x11a6  0x1207  0x120d  0x123c  0x1213  0x1237  0x11f3  0x11cb  0x11f1  0x1215  0x1226  0x11e4  0x1283  0x123f  0x1247  0x121c  0x1246  0x1235  0x1231  0x1253  0x1295  0x12cc  0x1262  0x1269  0x125b  0x125e  0x12c4  0x1299  0x12af  0x129f  0x128c  0x12f5  0x12d3  0x1313  0x12a5  0x12de  0x12f5  0x12bf  0x1298  0x131b  0x131a  0x132c  0x1388  0x1481
5 3 0 0x10ea  0x111f  0x107f  0x10ec  0x1094  0x1096  0x106e  0x10a9  0x10a2  0x1085  0x109a  0x1083  0x10a4  0x10b2  0x1054  0x1094  0x108b  0x103f  0x1066  0x10cc  0x1072  0x10d8  0x10aa  0x1118  0x10f7  0x109a  0x10d0  0x10dc  0x1051  0x10bf  0x10a4  0x10fe  0x10a7  0x10bd  0x108a  0x114e  0x10b6  0x1077  0x10cf  0x10bc  0x10b1  0x114c  0x10c2  0x10f4  0x10f7  0x1185  0x1112  0x1121  0x10d3  0x10f5  0x111b  0x1106  0x113e  0x10ec  0x10d4  0x10e0  0x10ea  0x116e  0x1160  0x1162  0x1126  0x112b  0x113f  0x1127  0x1215  0x11f6  0x115d  0x11ab  0x121f  0x11a8  0x11ef  0x11dd  0x11af  0x11bb  0x11de  0x1199  0x11e2  0x11f4  0x119b  0x11d2  0x11da  0x11af  0x1175  0x1230  0x11ca  0x11cb  0x11f5  0x1227  0x11d0  0x1186  0x11df  0x118e  0x117f  0x11d3  0x121a  0x1211  0x11e2  0x1205  0x11b6  0x11fb  0x1265  0x1239  0x11ee  0x1202  0x1271  0x1223  0x125b  0x12a4  0x11e4  0x1257  0x1255  0x1281  0x1267  0x125e  0x123b  0x1271  0x1261  0x12b7  0x129a  0x129a  0x128f  0x1275  0x12a0  0x1270  0x1239  0x1249  0x11db  0x1467
5 3 1 0x1319  0x1288  0x1253  0x125f  0x1240  0x128c  0x12d0  0x1295  0x1242  0x1249  0x1201  0x11a5  0x1228  0x11f9  0x1281  0x1227  0x121f  0x124f  0x1217  0x12e3  0x1220  0x1251  0x11be  0x121a  0x1227  0x120e  0x126d  0x11f7  0x121b  0x1208  0x129f  0x127f  0x1245  0x129f  0x12cc  0x1275  0x1299  0x12c6  0x131e  0x12aa  0x12d0  0x12ba  0x122f  0x12a3  0x127d  0x12b7  0x12e0  0x1292  0x1300  0x12aa  0x1286  0x1237  0x130d  0x12cf  0x12a9  0x1297  0x1336  0x12dd  0x132f  0x1268  0x12e2  0x130e  0x1308  0x1471  0x1383  0x1395  0x139c  0x13ab  0x1383  0x13da  0x140e  0x13c6  0x13a2  0x1362  0x13c5  0x1399  0x13a4  0x1392  0x13be  0x1391  0x1326  0x138b  0x1392  0x13c5  0x1436  0x13e4  0x1422  0x13ac  0x13b9  0x1409  0x13b5  0x1407  0x13b6  0x13b7  0x1431  0x13a8  0x13c9  0x142c  0x1407  0x13f7  0x13e8  0x1427  0x141a  0x1425  0x149a  0x1450  0x149f  0x143e  0x13e5  0x143f  0x1410  0x149d  0x145d  0x1490  0x14ba  0x14a1  0x1456  0x14b2  0x148e  0x1420  0x1495  0x14b5  0x14a4  0x1507  0x1554  0x1531  0x157a  0x1623
5 3 2 0x11d9  0x12a7  0x1276  0x1214  0x11db  0x1199  0x1181  0x11d3  0x121f  0x11ba  0x11eb  0x11b8  0x11d6  0x11f8  0x1192  0x11ce  0x11cb  0x119c  0x11b4  0x115a  0x1215  0x123f  0x1295  0x11ff  0x11eb  0x123d  0x11cd  0x122e  0x11fb  0x11ea  0x11bc  0x117d  0x1217  0x1252  0x11ea  0x11e2  0x11e9  0x1226  0x124a  0x11d2  0x11fc  0x11ef  0x11ef  0x1178  0x11fb  0x11ec  0x1202  0x11b5  0x1218  0x1235  0x11d2  0x126a  0x1250  0x1209  0x11d2  0x11e0  0x120d  0x11e1  0x11e2  0x1243  0x122c  0x128c  0x1256  0x1252  0x1261  0x12a2  0x1262  0x123f  0x1290  0x1246  0x122f  0x132e  0x120c  0x1277  0x1279  0x12e8  0x12d3  0x127a  0x12b7  0x129a  0x12f9  0x12d7  0x1282  0x1342  0x12b6  0x1284  0x12f6  0x12fa  0x12ad  0x1331  0x12be  0x12ed  0x130e  0x12d9  0x12f5  0x12c7  0x12fb  0x1325  0x131b  0x1385  0x13a7  0x12d8  0x132f  0x135f  0x12aa  0x138f  0x13a6  0x1346  0x1338  0x1377  0x1319  0x133e  0x134c  0x13eb  0x13da  0x136d  0x1366  0x13de  0x1405  0x13a2  0x13f2  0x140f  0x1430  0x13e7  0x145a  0x1483  0x1455  0x15df
5 3 3 0x11ae  0x115f  0x116e  0x1228  0x1165  0x10d7  0x10ca  0x1105  0x114f  0x114b  0x113f  0x10c8  0x10d4  0x1189  0x1170  0x10f4  0x110d  0x11c5  0x117f  0x116f  0x1146  0x1117  0x1160  0x10c5  0x1141  0x114f  0x10be  0x10bd  0x1192  0x10cf  0x1181  0x1104  0x1190  0x1150  0x1167  0x1101  0x1110  0x117e  0x1156  0x115c  0x117e  0x1169  0x116b  0x1138  0x1185  0x112e  0x11c3  0x115c  0x1150  0x114e  0x111e  0x119c  0x11cf  0x117d  0x1128  0x1165  0x1183  0x11a5  0x11ac  0x1122  0x11c5  0x1216  0x11fd  0x11e2  0x11d3  0x1285  0x1218  0x11eb  0x1229  0x11e8  0x117a  0x11b2  0x1209  0x11f2  0x11de  0x123b  0x11f8  0x1202  0x122b  0x1211  0x11da  0x1180  0x11e6  0x1256  0x1217  0x1224  0x11ff  0x126b  0x11c3  0x1243  0x11d9  0x1254  0x1212  0x11f2  0x1299  0x12bd  0x1322  0x1245  0x129f  0x125e  0x12a5  0x12bb  0x12a6  0x12e9  0x12da  0x12bc  0x1311  0x130b  0x12cc  0x12f8  0x12dd  0x12da  0x12dc  0x132a  0x12f2  0x1337  0x1336  0x13b0  0x1378  0x13c4  0x1363  0x133b  0x1386  0x1429  0x1436  0x13ed  0x149a  0x14df
5 3 4 0x11e8  0x12b1  0x12a9  0x12a9  0x129b  0x12d4  0x12ee  0x12eb  0x12db  0x12d6  0x1318  0x12e7  0x1315  0x1372  0x12de  0x123c  0x131c  0x1303  0x12ea  0x1299  0x12bc  0x12de  0x1271  0x125e  0x1328  0x1356  0x125d  0x1295  0x1310  0x1302  0x1338  0x1300  0x1359  0x12a0  0x1349  0x133d  0x135f  0x1317  0x12df  0x1349  0x139d  0x13ba  0x1386  0x1324  0x13c3  0x1323  0x1327  0x141e  0x139d  0x13bd  0x12f4  0x1345  0x1335  0x13fe  0x13b0  0x13fe  0x1318  0x138b  0x13c5  0x142c  0x13a4  0x144f  0x13c5  0x13e2  0x148d  0x1460  0x140a  0x1478  0x1420  0x143d  0x1434  0x141e  0x13ee  0x13d9  0x144d  0x1443  0x143a  0x13c1  0x1437  0x1430  0x1420  0x13af  0x13ba  0x1483  0x144c  0x1467  0x146e  0x14a5  0x146a  0x1481  0x1453  0x148f  0x1421  0x142f  0x1490  0x141d  0x1421  0x142d  0x1464  0x14ab  0x1496  0x143d  0x149e  0x1433  0x1425  0x13fc  0x1461  0x14e9  0x1440  0x1427  0x14ab  0x144e  0x149b  0x1478  0x1487  0x14e9  0x14bd  0x14c3  0x154a  0x14d7  0x1518  0x14e2  0x1547  0x1562  0x1572  0x15e5  0x15e1  0x170d
6 0 0 0x136e  0x13f1  0x13f5  0x13f3  0x13b5  0x13f6  0x13dd  0x1379  0x13c3  0x139c  0x13a2  0x132a  0x1374  0x13ff  0x1396  0x13a7  0x1322  0x140d  0x13a5  0x1386  0x1383  0x1381  0x13b9  0x13b7  0x1344  0x142c  0x1363  0x137d  0x13d2  0x1458  0x13e1  0x139d  0x1467  0x1454  0x143a  0x140d  0x13e6  0x142f  0x13fe  0x142b  0x1414  0x13f1  0x1432  0x1491  0x143a  0x146f  0x148e  0x14a2  0x1453  0x1436  0x143c  0x1480  0x147c  0x1468  0x1466  0x1475  0x14cc  0x1443  0x149f  0x1457  0x1465  0x1498  0x1475  0x13d9  0x150b  0x14e3  0x14b2  0x14cf  0x1492  0x153f  0x14dd  0x14b0  0x14e4  0x156d  0x14e8  0x147d  0x14d8  0x147d  0x1517  0x14b4  0x14d5  0x1518  0x14b6  0x150e  0x14d0  0x14be  0x14af  0x14d7  0x14cf  0x1533  0x1507  0x1521  0x1531  0x149d  0x14cd  0x14eb  0x14f2  0x151b  0x1559  0x14d1  0x1536  0x14f6  0x157c  0x14b5  0x1519  0x1559  0x14e3  0x1515  0x156b  0x150f  0x1591  0x1557  0x156e  0x15a3  0x1588  0x15a1  0x158b  0x15cf  0x15e2  0x15c6  0x1629  0x15d1  0x15cf  0x15fc  0x1663  0x1634  0x1738  0x1673
6 0 1 0x12ed  0x12dc  0x12e3  0x12b2  0x12d8  0x127b  0x12c7  0x12a8  0x12ea  0x12e4  0x12b0  0x1330  0x1261  0x12ca  0x136b  0x1319  0x132e  0x132f  0x1297  0x12f8  0x1328  0x12b4  0x12fa  0x130a  0x131f  0x12a0  0x1324  0x12bb  0x12a0  0x1318  0x12a2  0x1315  0x1259  0x12c0  0x12db  0x12a5  0x12bf  0x12a0  0x1290  0x12b0  0x1285  0x122e  0x12e4  0x12d9  0x12a2  0x125a  0x1240  0x12d0  0x12a7  0x1269  0x1283  0x1299  0x1246  0x12ae  0x1264  0x123b  0x1261  0x12cd  0x1279  0x1335  0x126c  0x1261  0x128e  0x1269  0x12a6  0x129c  0x12e0  0x12e3  0x1313  0x1328  0x130b  0x128e  0x12de  0x12c2  0x1324  0x12ee  0x12c9  0x1287  0x12bf  0x1311  0x12d6  0x12c5  0x12c8  0x1315  0x1316  0x1281  0x1304  0x1306  0x12a5  0x12b4  0x12c5  0x12e0  0x1284  0x1316  0x1311  0x1321  0x1333  0x1347  0x1313  0x134d  0x1376  0x1329  0x1367  0x1375  0x1392  0x1381  0x1351  0x1322  0x1313  0x13fc  0x1396  0x13ad  0x1348  0x1407  0x1410  0x13e5  0x1411  0x13ed  0x13e4  0x1483  0x13f7  0x13f5  0x1428  0x14c8  0x147c  0x14e7  0x154a  0x15ae
6 0 2 0x14da  0x1495  0x1470  0x1439  0x141c  0x143e  0x13af  0x140a  0x13dd  0x1405  0x13e8  0x145e  0x1384  0x13ba  0x13ff  0x1432  0x138a  0x13ed  0x13b9  0x13b9  0x1443  0x1403  0x13f0  0x1415  0x13ef  0x1452  0x1423  0x13cc  0x13c9  0x1431  0x141a  0x1411  0x1485  0x1488  0x1417  0x1475  0x1427  0x142c  0x14b7  0x146b  0x14bd  0x1435  0x14dc  0x14b0  0x1480  0x142b  0x14a1  0x1418  0x14c5  0x147f  0x14ad  0x146b  0x14c5  0x1466  0x146b  0x1470  0x14ab  0x13fc  0x14b0  0x1438  0x14d3  0x14b7  0x1478  0x1519  0x1463  0x14c4  0x149e  0x1492  0x1500  0x14d1  0x14f4  0x1471  0x1490  0x14b5  0x14d9  0x14a2  0x147a  0x154b  0x14d5  0x14d9  0x150b  0x152b  0x14e6  0x14a8  0x14f9  0x1500  0x14ec  0x156f  0x14fa  0x14b3  0x14f9  0x14a8  0x1520  0x14e6  0x151c  0x1567  0x14fc  0x1599  0x158f  0x1524  0x14ce  0x1543  0x14a7  0x14e3  0x14f6  0x14ad  0x1511  0x1557  0x158f  0x154a  0x1573  0x155a  0x1581  0x15a4  0x157f  0x159f  0x15ab  0x15d2  0x15b3  0x164c  0x15d3  0x1606  0x1672  0x1665  0x1634  0x165a  0x1704  0x1820
6 0 3 0x162b  0x156c  0x15ce  0x15f8  0x1580  0x1519  0x15b5  0x1602  0x15ec  0x15d4  0x15a5  0x1548  0x15a9  0x1505  0x1593  0x15a6  0x152b  0x1550  0x158f  0x1581  0x15a2  0x154f  0x1571  0x1599  0x1597  0x1574  0x156f  0x15fb  0x159b  0x1504  0x1597  0x1565  0x1588  0x15b6  0x1598  0x1580  0x15ca  0x15d6  0x1561  0x15a2  0x15b7  0x15e8  0x15c7  0x15a8  0x15da  0x153f  0x158e  0x15ad  0x15b3  0x1612  0x15d5  0x15b8  0x15bd  0x15e3  0x15a9  0x15f8  0x15ea  0x15c0  0x15b7  0x15d0  0x15b1  0x160e  0x15e4  0x1589  0x1650  0x1672  0x1638  0x15fb  0x1646  0x1698  0x162d  0x15fb  0x15a9  0x1634  0x164f  0x1611  0x1643  0x1653  0x160d  0x1629  0x162d  0x161b  0x15de  0x1616  0x15ff  0x1648  0x15c8  0x1630  0x1674  0x15ff  0x16be  0x1606  0x160a  0x164f  0x164a  0x1676  0x164a  0x15f7  0x15c6  0x164a  0x166c  0x1693  0x1651  0x1695  0x1685  0x1679  0x169c  0x168f  0x1698  0x16d7  0x169b  0x16d1  0x16ea  0x16ca  0x16e6  0x170b  0x1717  0x170a  0x16fe  0x16f0  0x1745  0x1760  0x179c  0x1704  0x17e8  0x17fd  0x17f1  0x1921
6 0 4 0x1479  0x14ce  0x14e3  0x14c8  0x1576  0x14e6  0x1519  0x1507  0x156d  0x14ef  0x152b  0x14dd  0x14f6  0x15a0  0x14fa  0x14d7  0x14fb  0x1503  0x1503  0x1492  0x152e  0x14f4  0x149e  0x1522  0x14bf  0x152b  0x147d  0x1497  0x14eb  0x14f2  0x14c4  0x1532  0x14d0  0x1527  0x1511  0x1538  0x1548  0x150f  0x14ea  0x1562  0x156e  0x1577  0x1540  0x1507  0x15aa  0x1541  0x14b6  0x14c7  0x1534  0x1569  0x155e  0x155e  0x152c  0x14c2  0x155c  0x158a  0x150e  0x154b  0x1588  0x1561  0x1555  0x157b  0x15e6  0x1593  0x1557  0x1518  0x15b3  0x1567  0x1502  0x14f6  0x14fe  0x1598  0x149e  0x1554  0x154f  0x15bd  0x1527  0x1528  0x1505  0x14e9  0x1583  0x154d  0x1570  0x156f  0x1524  0x1591  0x1579  0x1533  0x1556  0x154b  0x1557  0x153b  0x153b  0x1553  0x15dc  0x1536  0x15b8  0x15f5  0x158b  0x1576  0x15b1  0x15d3  0x1544  0x15ba  0x1574  0x15b6  0x161f  0x1592  0x1559  0x15cc  0x161b  0x157a  0x15d3  0x1637  0x1610  0x15c4  0x15f9  0x167d  0x1656  0x15b6  0x160a  0x1644  0x164c  0x16bf  0x16ca  0x16e7  0x1709  0x17c7
6 1 0 0x126b  0x117e  0x1201  0x120e  0x121e  0x1251  0x11ef  0x119b  0x11ec  0x1192  0x121f  0x1165  0x11c1  0x1236  0x1207  0x11d8  0x1182  0x122c  0x11bb  0x11ff  0x1186  0x11c8  0x11a3  0x11dc  0x11f0  0x1194  0x1221  0x11ab  0x11e4  0x11b9  0x1219  0x123d  0x11f8  0x11b5  0x11fc  0x125f  0x1298  0x11ea  0x11f1  0x11ea  0x1213  0x12b4  0x1259  0x1232  0x1228  0x1253  0x1226  0x1278  0x123b  0x1250  0x1275  0x127a  0x12ce  0x12a9  0x1278  0x12a4  0x12a5  0x1269  0x128b  0x127b  0x12d9  0x1298  0x12ed  0x12c7  0x1376  0x1393  0x1310  0x1311  0x133c  0x12f0  0x12f9  0x1298  0x1313  0x1301  0x12e0  0x12f6  0x12ed  0x1346  0x1310  0x1302  0x1330  0x130e  0x1371  0x136a  0x1331  0x12f4  0x1345  0x13a1  0x136d  0x131d  0x138a  0x1303  0x1369  0x131d  0x1388  0x1372  0x13b4  0x13c6  0x13f4  0x1402  0x139d  0x1411  0x13bf  0x13b2  0x13ee  0x13c8  0x13e7  0x1430  0x1412  0x13c4  0x1404  0x13cf  0x13f8  0x1455  0x1436  0x13e3  0x1460  0x14c5  0x1432  0x144b  0x1411  0x14ba  0x144a  0x1411  0x146e  0x144e  0x13d6  0x17e8
6 1 1 0x13a9  0x13ae  0x13a7  0x134b  0x12a3  0x1360  0x12ea  0x12c0  0x12e2  0x1345  0x1331  0x1283  0x130b  0x12cb  0x125f  0x127e  0x1333  0x12a7  0x12f4  0x12a5  0x12cb  0x136e  0x130c  0x12fe  0x12bc  0x12f8  0x130c  0x12b1  0x12c7  0x1313  0x12df  0x12a0  0x1356  0x130a  0x131a  0x131a  0x136b  0x12f2  0x1303  0x1357  0x136b  0x133b  0x136f  0x1338  0x1394  0x132c  0x12e7  0x139f  0x138c  0x13fd  0x12e3  0x1378  0x13b5  0x12dd  0x131d  0x138a  0x137b  0x138c  0x13a7  0x141d  0x13e5  0x13de  0x138a  0x1354  0x146a  0x1428  0x1440  0x13fe  0x1446  0x13ea  0x1400  0x1408  0x13c1  0x1401  0x140e  0x1423  0x13d4  0x13ce  0x1406  0x13e5  0x1411  0x1465  0x13c6  0x1427  0x13db  0x1416  0x144c  0x1422  0x1440  0x1464  0x144f  0x1433  0x13f9  0x146a  0x147f  0x1479  0x13e8  0x142e  0x148c  0x145e  0x144f  0x13f2  0x1452  0x1443  0x13fd  0x1451  0x149a  0x1477  0x147f  0x1456  0x146b  0x149c  0x148e  0x149c  0x145d  0x148e  0x149c  0x14be  0x14b1  0x1540  0x14ef  0x14b3  0x150c  0x1511  0x1577  0x1555  0x15d5  0x1673
6 1 2 0x13a5  0x12c3  0x12c4  0x1306  0x12f5  0x1343  0x12f8  0x1328  0x1311  0x131d  0x1339  0x130c  0x1335  0x12e2  0x1303  0x12a7  0x132e  0x1353  0x136a  0x1334  0x12b7  0x1353  0x1318  0x12e6  0x1368  0x1332  0x12fa  0x1345  0x135c  0x12af  0x132d  0x135c  0x130a  0x1396  0x1352  0x1331  0x135c  0x1363  0x12e4  0x1367  0x134c  0x138b  0x132e  0x136e  0x1384  0x130d  0x134a  0x1390  0x13b1  0x133e  0x1349  0x1365  0x139e  0x1378  0x139a  0x13de  0x13bc  0x138b  0x1330  0x13da  0x13c5  0x139f  0x13bb  0x13c9  0x1493  0x13fb  0x1411  0x1462  0x13fc  0x14c2  0x1446  0x1407  0x1454  0x140a  0x1468  0x13c5  0x1482  0x1404  0x13bf  0x1424  0x13e8  0x1412  0x147c  0x13d3  0x142e  0x14aa  0x1413  0x1434  0x1440  0x1473  0x1427  0x145e  0x1497  0x13fa  0x1458  0x1453  0x146d  0x142b  0x1402  0x147c  0x1479  0x146c  0x14e2  0x14b8  0x1422  0x14c8  0x149b  0x1466  0x1474  0x14de  0x14d6  0x14af  0x1472  0x1487  0x14ed  0x14d8  0x14c8  0x1514  0x1530  0x154f  0x14c7  0x154f  0x1515  0x15d0  0x159b  0x157b  0x1661  0x16db
